url,slug,completeness_pct,fields_filled,fields_total,fields_empty,summary_words,technical_words,how_to_open_words,how_to_convert_words,total_words
/filetypes/3gpp/,3gpp,91.7,11,12,1,13,87,342,53,495
/filetypes/aac/,aac,91.7,11,12,1,13,196,61,46,316
/filetypes/aif/,aif,91.7,11,12,1,13,263,222,77,575
/filetypes/avi/,avi,91.7,11,12,1,13,88,99,45,245
/filetypes/cmx/,cmx,91.7,11,12,1,13,117,43,76,249
/filetypes/deb/,deb,91.7,11,12,1,13,90,88,22,213
/filetypes/flv/,flv,91.7,11,12,1,13,382,49,47,491
/filetypes/iso/,iso,91.7,11,12,1,13,223,226,74,536
/filetypes/j2k/,j2k,91.7,11,12,1,13,110,36,81,240
/filetypes/jp2/,jp2,91.7,11,12,1,13,96,33,60,202
/filetypes/m3u/,m3u,91.7,11,12,1,13,177,85,85,360
/filetypes/qcp/,qcp,91.7,11,12,1,13,111,206,58,388
/filetypes/sesx/,sesx,91.7,11,12,1,13,97,252,198,560
/filetypes/weba/,weba,91.7,11,12,1,13,165,107,110,395
/filetypes/webm/,webm,91.7,11,12,1,13,92,98,44,247
/filetypes/3ds/,3ds,83.3,10,12,2,13,255,41,74,383
/filetypes/3gp/,3gp,83.3,10,12,2,13,212,136,48,409
/filetypes/3mf/,3mf,83.3,10,12,2,13,165,299,53,530
/filetypes/7z/,7z,83.3,10,12,2,13,144,172,0,329
/filetypes/ac3/,ac3,83.3,10,12,2,13,273,25,49,360
/filetypes/accft/,accft,83.3,10,12,2,13,44,63,0,120
/filetypes/act/,act,83.3,10,12,2,13,265,44,48,370
/filetypes/adr/,adr,83.3,10,12,2,13,23,18,49,103
/filetypes/aep/,aep,83.3,10,12,2,13,156,23,130,322
/filetypes/afphoto/,afphoto,83.3,10,12,2,13,86,38,131,268
/filetypes/ai/,ai,83.3,10,12,2,13,144,118,89,364
/filetypes/aiff/,aiff,83.3,10,12,2,13,236,37,73,359
/filetypes/alac/,alac,83.3,10,12,2,13,98,50,65,226
/filetypes/amf/,amf,83.3,10,12,2,13,175,25,79,292
/filetypes/amr/,amr,83.3,10,12,2,13,277,44,50,384
/filetypes/apkg/,apkg,83.3,10,12,2,13,103,181,65,362
/filetypes/apm/,apm,83.3,10,12,2,13,59,12,76,160
/filetypes/apz/,apz,83.3,10,12,2,13,65,94,41,213
/filetypes/arw/,arw,83.3,10,12,2,13,155,131,141,440
/filetypes/ass/,ass,83.3,10,12,2,13,61,309,0,383
/filetypes/avif/,avif,83.3,10,12,2,13,184,53,72,322
/filetypes/b6z/,b6z,83.3,10,12,2,13,60,24,0,97
/filetypes/bay/,bay,83.3,10,12,2,13,62,19,38,132
/filetypes/blend/,blend,83.3,10,12,2,13,127,83,67,290
/filetypes/bmp/,bmp,83.3,10,12,2,13,290,82,56,441
/filetypes/bnp/,bnp,83.3,10,12,2,13,29,124,74,240
/filetypes/bpg/,bpg,83.3,10,12,2,13,189,17,62,281
/filetypes/c4d/,c4d,83.3,10,12,2,13,76,92,85,266
/filetypes/caf/,caf,83.3,10,12,2,13,411,280,241,945
/filetypes/cdf/,cdf,83.3,10,12,2,13,61,30,49,153
/filetypes/cdr/,cdr,83.3,10,12,2,13,96,333,160,602
/filetypes/chm/,chm,83.3,10,12,2,13,55,46,56,170
/filetypes/clip/,clip,83.3,10,12,2,13,80,32,54,179
/filetypes/cr2/,cr2,83.3,10,12,2,13,275,68,80,436
/filetypes/cr3/,cr3,83.3,10,12,2,13,126,102,70,311
/filetypes/crypt15/,crypt15,83.3,10,12,2,13,212,113,24,362
/filetypes/cur/,cur,83.3,10,12,2,13,259,25,54,351
/filetypes/daa/,daa,83.3,10,12,2,13,13,29,31,86
/filetypes/dav/,dav,83.3,10,12,2,13,109,25,58,205
/filetypes/dce/,dce,83.3,10,12,2,13,109,100,24,246
