
> serp-filetypes@0.0.1 report:db-content /Users/devin/repos/projects/github@serptemplates/filetypes
> node scripts/report-db-content.mjs -- --format csv

slug,fields_total,fields_filled,fields_empty,summary_words,technical_words,how_to_open_words,how_to_convert_words,total_words
!bt,12,6,6,13,25,0,0,38
!qb,12,6,6,13,35,0,0,48
!sync,12,6,6,13,56,0,0,69
!ut,12,6,6,13,20,0,0,33
$$$,12,7,5,13,52,63,0,128
$01,12,6,6,13,18,0,0,31
$db,12,7,5,13,61,45,0,119
$er,12,5,7,13,0,0,0,13
%23%23,12,7,5,13,73,80,0,166
%23%23%23,12,7,5,13,91,32,0,136
%5e%5e%5e,12,6,6,13,11,0,0,24
%7bpb,12,6,6,13,40,0,0,53
0,12,6,6,13,73,0,0,86
00,12,6,6,13,41,0,0,54
000,12,6,6,13,138,0,0,151
001,12,7,5,13,160,134,0,307
002,12,7,5,13,194,118,0,325
003,12,7,5,13,160,112,0,285
004,12,7,5,13,164,111,0,288
007,12,7,5,13,63,21,0,97
0adsave,12,6,6,13,159,0,0,172
0cc,12,6,6,13,70,0,0,83
0fop,12,7,5,13,87,28,0,128
0xe,12,6,6,13,79,0,0,92
1,12,7,5,13,89,47,0,149
113,12,7,5,13,143,56,0,212
123,12,7,5,13,80,36,0,129
123c,12,6,6,13,46,0,0,59
123d,12,6,6,13,47,0,0,60
123dx,12,6,6,13,22,0,0,35
12m,12,6,6,13,64,0,0,77
17t,12,6,6,13,116,0,0,129
1km,12,3,9,6,0,0,0,6
1pe,12,7,5,13,73,28,0,114
1ph,12,7,5,13,53,15,0,81
1pux,12,7,5,13,137,78,0,228
1sc,12,7,5,13,79,34,0,126
1st,12,6,6,13,13,0,0,26
1te,12,7,5,13,118,49,0,180
1ti,12,7,5,13,115,34,0,162
1tm,12,8,4,13,88,59,33,193
2,12,7,5,13,118,56,0,187
208,12,6,6,13,85,0,0,98
210,12,4,8,6,0,0,0,6
256,12,7,5,13,64,39,0,116
264,12,6,6,13,12,0,0,25
2bp,12,5,7,13,0,0,0,13
2ch,12,8,4,13,104,43,38,198
2d,12,7,5,13,53,24,0,90
2fas,12,7,5,13,132,67,0,212
2fs,12,5,7,13,0,0,0,13
2mg,12,6,6,13,25,0,0,38
2sf,12,5,7,13,0,0,0,13
2sflib,12,6,6,13,16,0,0,29
3,12,7,5,13,122,56,0,191
323,12,5,7,13,0,0,0,13
32x,12,5,7,13,0,0,0,13
360,12,6,6,13,43,0,0,56
386,12,6,6,13,46,0,0,59
3d,12,7,5,58,15,11,0,84
3d2,12,7,5,13,0,0,0,13
3d4,12,6,6,13,7,0,0,20
3da,12,6,6,13,19,0,0,32
3dc,12,6,6,13,31,0,0,44
3dd,12,6,6,13,9,0,0,22
3df,12,6,6,13,13,0,0,26
3dl,12,6,6,13,10,0,0,23
3dm,12,8,4,13,8,0,0,21
3dmark-result,12,6,6,13,33,0,0,46
3dmdef,12,6,6,13,32,0,0,45
3dmf,12,7,5,13,53,32,0,98
3dmk,12,6,6,13,32,0,0,45
3dml,12,3,9,6,0,0,0,6
3don,12,6,6,13,8,0,0,21
3dp,12,6,6,13,28,0,0,41
3dr,12,6,6,13,52,0,0,65
3ds,12,10,2,13,255,41,74,383
3ds-to-dae,12,6,6,4,0,0,252,256
3ds-to-dae.png,12,1,11,0,0,0,0,0
3ds-to-dwg,12,6,6,4,0,0,236,240
3ds-to-dwg.png,12,1,11,0,0,0,0,0
3ds-to-fbx,12,6,6,4,0,0,231,235
3ds-to-fbx.png,12,1,11,0,0,0,0,0
3ds-to-glb,12,6,6,4,0,0,215,219
3ds-to-glb.png,12,1,11,0,0,0,0,0
3ds-to-gltf,12,6,6,4,0,0,264,268
3ds-to-gltf.png,12,1,11,0,0,0,0,0
3ds-to-obj,12,6,6,4,0,0,237,241
3ds-to-obj.png,12,1,11,0,0,0,0,0
3ds-to-pdf,12,6,6,4,0,0,208,212
3ds-to-pdf.png,12,1,11,0,0,0,0,0
3ds-to-ply,12,6,6,4,0,0,229,233
3ds-to-ply.png,12,1,11,0,0,0,0,0
3ds-to-stl,12,6,6,4,0,0,221,225
3ds-to-stl.png,12,1,11,0,0,0,0,0
3ds-to-usdz,12,6,6,4,0,0,237,241
3ds-to-usdz.png,12,1,11,0,0,0,0,0
3dsx,12,7,5,13,110,99,0,222
3dt,12,5,7,13,0,0,0,13
3dv,12,5,7,13,0,0,0,13
3dw,12,6,6,13,104,0,0,117
3dx,12,8,4,13,120,20,37,190
3dxml,12,6,6,13,31,0,0,44
3dz,12,6,6,13,61,0,0,74
3fr,12,7,5,13,197,57,0,267
3fs,12,6,6,13,29,0,0,42
3g2,12,9,3,13,193,156,0,362
3ga,12,6,6,13,20,0,0,33
3gm,12,7,5,13,117,16,0,146
3gp,12,10,2,13,212,136,48,409
3gp2,12,5,7,13,0,0,0,13
3gpa,12,6,6,13,28,0,0,41
3gpp,12,11,1,13,87,342,53,495
3gpp2,12,6,6,13,10,0,0,23
3gx,12,7,5,13,233,29,0,275
3me,12,7,5,13,85,23,0,121
3mf,12,10,2,13,165,299,53,530
3mf-to-3ds,12,6,6,4,0,0,228,232
3mf-to-3ds.png,12,1,11,0,0,0,0,0
3mf-to-dae,12,6,6,4,0,0,230,234
3mf-to-dae.png,12,1,11,0,0,0,0,0
3mf-to-glb,12,6,6,4,0,0,231,235
3mf-to-glb.png,12,1,11,0,0,0,0,0
3mf-to-html,12,6,6,4,0,0,230,234
3mf-to-obj,12,6,6,4,0,0,261,265
3mf-to-obj.png,12,1,11,0,0,0,0,0
3mf-to-stl,12,6,6,4,0,0,240,244
3mf-to-stl.png,12,1,11,0,0,0,0,0
3mf-to-u3d,12,6,6,4,0,0,232,236
3mf-to-u3d.png,12,1,11,0,0,0,0,0
3mm,12,7,5,13,61,35,0,109
3p2,12,5,7,13,0,0,0,13
3pe,12,7,5,13,149,29,0,191
3w,12,6,6,13,83,0,0,96
4,12,7,5,13,116,56,0,185
411,12,6,6,13,6,0,0,19
477,12,6,6,13,17,0,0,30
4db,12,8,4,13,14,0,0,27
4dd,12,8,4,13,84,0,0,97
4dl,12,8,4,13,57,0,0,70
4dv,12,6,6,13,17,0,0,30
4fs,12,6,6,13,31,0,0,44
4mp,12,6,6,13,18,0,0,31
4th,12,6,6,13,71,0,0,84
4ui,12,6,6,13,35,0,0,48
4xm,12,7,5,13,95,44,0,152
